movie_name,movie_date,score,genre,movie_status,ori_lang,budget,revenue,country
Kids vs. Aliens,01-20-2023 ,60,"Science Fiction, Horror, Adventure, Action", Released, English,143200000,514828594,US
Everything Everywhere All at Once,04-14-2022 ,79,"Action, Adventure, Science Fiction", Released, English,25000000,114900000,AU
Glass Onion: A Knives Out Mystery,11-23-2022 ,71,"Comedy, Crime, Mystery", Released, English,40000000,13280000,AU
Suro,2022-02-12,73,"Thriller, Drama", Released," Catalan, Valencian",80000000,522029092,ES
The Lair,08-25-2022 ,59,"Horror, Action", Released, English,118200000,307351569,GB
My Hero Academia: World Heroes' Mission,10-28-2021 ,76,"Animation, Action, Adventure, Science Fiction", Released, Japanese,27164600,38410729,AU
Unhappily Ever After,01-26-2023 ,81,"Comedy, Romance", Released," Spanish, Castilian",149000000,1109873157,MX
Evil Eye,09-22-2022 ,68,Horror, Released," Spanish, Castilian",1704500,223147807,MX
Inspector Sun and the Curse of the Black Widow,12-28-2022 ,68,"Animation, Family", Released," Spanish, Castilian",98140000,494358732,ES
The Price We Pay,01-13-2023 ,60,"Action, Thriller, Mystery, Crime, Horror", Released, English,126800000,985255869,US
Lupin The 3rd vs. Catâ€™s Eye,01-27-2023 ,60,"Animation, Action, Adventure, Comedy", Released, Japanese,89600000,367393888,AU
Murder Mystery,05-25-2019 ,63,"Comedy, Mystery", Released, English,24000000,205809601,AU
Luz Mala,11-17-2022 ,43,Horror, Released," Spanish, Castilian",87600000,817860944,AR
Babylon,01-19-2023 ,75,"Drama, Comedy", Released, English,110000000,63262638,AU
The Lost City,03-30-2022 ,66,"Action, Adventure, Comedy", Released, English,74000000,182921990,AU
The Lost City,03-30-2022 ,66,"Action, Adventure, Comedy", Released, English,9600000,5256839,AU
Detective Knight: Rogue,10-21-2022 ,67,"Action, Crime, Thriller", Released, English,50000000,725034226,US
Cop Secret,10-20-2021 ,61,"Comedy, Action, Thriller", Released, Icelandic,58100000,651717830,IS
The Quintessential Quintuplets Movie,2022-01-12,84,"Animation, Comedy, Romance", Released, Japanese,2937024,17288993,AU
Harry Potter and the Chamber of Secrets,11-28-2002 ,77,"Adventure, Fantasy", Released, English,100000000,874954530,AU
